1571995996,3,0,3,"CK,C2,CA,C8;S4,SK,S10,S2;C4,C3,C6,HA;S8,H10,SJ,S3;CJ,C5,C7,HK;S9,H9,SQ,S5;SA,CQ,C9,HQ;D3,D10,D2,D9;D6,DJ,D4,H7;D8,DQ,D5,H6;HJ,H3,H2,H4;DK,H8,D7,S7;DA,H5,C10,S6"
1571995996,3,0,3,"CA,C2,CK,C5;C4,CQ,C6,C3;SK,S7,S2,S4;C9,C7,C8,SA;C10,SQ,HA,HQ;CJ,H10,HK,HJ;D4,D3,D2,D5;D6,DA,D7,DQ;H5,SJ,S3,S5;H3,H4,H8,H2;D8,H9,D9,S9;D10,H7,DJ,S8;DK,H6,S10,S6"
1571995996,3,8,3,"CQ,C2,CA,CJ;S2,SQ,S9,S4;SK,C5,C3,C4;HQ,C8,C6,C9;D4,D2,D8,D9;D5,D3,DQ,DA;S3,HA,SA,S7;H10,CK,C7,HJ;D7,D6,HK,H8;S5,H5,H9,S8;S6,DK,H4,S10;H2,DJ,H3,H6;SJ,D10,C10,H7"
1571995996,3,12,3,"CQ,CJ,C8,C2;S2,S3,S7,S8;S4,S5,S9,S10;HQ,S6,SA,SJ;C3,C9,C4,CA;C5,C10,C6,CK;D2,D3,D4,D8;D6,D5,DQ,D9;D7,D10,DA,SQ;H5,H2,H3,HA;H8,H6,HJ,SK;DJ,H4,H7,H9;C7,DK,H10,HK"
1571995996,3,1,3,"C2,C7,CK,CA;S6,S10,S4,S2;C5,C3,H8,C4;C8,C6,H7,CQ;HA,SQ,S5,S3;D3,D2,D6,D8;D4,D5,D7,D10;DK,DJ,D9,DQ;C9,SA,H6,H9;C10,SK,H5,H3;CJ,HQ,H2,SJ;H10,H4,DA,S9;HK,HJ,S7,S8"
1571995996,3,22,3,"C2,CK,C7,CA;S7,S9,S5,S2;SA,S10,S8,S3;C4,CQ,C3,C5;C8,C6,SQ,CJ;D4,D2,D10,D3;D7,D6,DQ,D5;H10,HA,SJ,S4;H9,HQ,SK,S6;H4,DK,H2,H8;H7,D8,HJ,DJ;H6,D9,H5,DA;C9,C10,H3,HK"
1571995996,3,12,3,"C2,C10,D10,CA;S2,S3,S5,S4;S6,S10,S8,S7;C3,C4,HK,C5;HA,SQ,SJ,S9;DK,D9,D2,D7;DA,DQ,D3,DJ;C7,C6,H9,CQ;H10,H8,H2,SK;H6,H7,D8,SA;C8,C9,D6,CK;H5,H3,D5,HJ;CJ,H4,D4,HQ"
1571995996,3,12,3,"C2,CQ,CJ,CA;S2,S4,S10,S6;S3,S5,SJ,S7;C9,SQ,C3,C5;C10,SK,C4,C6;D6,D3,D10,D2;SA,H10,C7,C8;HA,H8,HK,CK;D8,D7,DQ,D4;HQ,D9,DA,D5;H2,DK,H4,H6;H9,S9,HJ,DJ;H3,S8,H5,H7"
1571995996,3,3,3,"C10,C2,C3,CA;S4,S6,S2,S5;C8,C5,HJ,C4;S8,SQ,S3,S10;C9,C6,H9,C7;D2,D4,D3,D7;SK,HQ,S7,SA;HA,CJ,H4,CQ;H3,H7,D8,H2;H10,CK,D6,HK;DJ,D9,D5,H8;DQ,D10,SJ,H6;DA,DK,S9,H5"
1571995996,3,13,3,"C2,CA,C8,C10;S8,S2,S4,SQ;C3,C7,C6,C4;C9,CK,SA,C5;D2,D3,D4,D9;D6,D5,D7,D10;DA,D8,DJ,DQ;S9,S3,S7,SK;H5,H6,H3,H2;S10,S5,SJ,HK;HJ,HQ,DK,H8;CQ,H9,H10,H4;CJ,S6,HA,H7"
