1571997105,3,7,2,"C10,C2,CK,CA;S4,S2,S6,S3;S5,S8,S9,HK;S7,S10,SJ,HQ;SA,C7,C5,C3;SK,C8,CJ,C4;D2,D5,D4,D3;HA,C9,SQ,C6;D7,D6,DA,D8;DJ,D10,DQ,D9;H3,H4,H2,HJ;H8,H10,H9,CQ;DK,H5,H7,H6"
1571997105,3,2,2,"CQ,CA,C2,C8;C7,C5,C4,C3;S2,SQ,S4,S5;C10,C6,C9,HJ;D5,DJ,D4,D2;HA,CJ,CK,H5;D6,D8,D7,D3;D10,D9,DK,DA;S3,SK,S9,S7;S6,SA,H10,S10;HK,H7,H4,H2;DQ,HQ,H8,H3;S8,H9,H6,SJ"
1571997105,3,3,2,"CA,C2,CQ,D9;S8,S2,SJ,S5;C4,C9,C3,HA;SA,S3,HK,S6;C5,CJ,C6,H7;HJ,S4,H10,S9;H9,S7,DK,S10;D4,D10,D5,D2;DA,DQ,D7,D3;C10,SQ,C7,H6;CK,SK,C8,H4;H2,H5,DJ,H3;H8,HQ,D8,D6"
1571997105,3,19,2,"CA,CK,C3,C2;S3,S7,S2,S8;S5,HJ,S4,S9;S6,H9,SA,S10;D6,D4,D2,DK;C9,C4,HA,C5;SJ,H4,HQ,SK;SQ,C6,H8,C7;HK,C8,H7,CJ;DA,D5,D3,D7;D10,DJ,D9,D8;H10,C10,H6,H3;H2,CQ,H5,DQ"
1571997105,3,9,2,"CK,C2,CJ,CA;S8,S4,S2,S6;S9,HA,S3,S7;S10,H9,S5,SJ;C3,C4,C5,C8;C6,C7,H10,C9;D2,D5,D10,D4;D3,D8,DJ,D9;D6,H8,DQ,DA;SA,H7,H5,SK;D7,H4,DK,SQ;H6,CQ,H2,HJ;HQ,C10,H3,HK"
1571997105,3,0,2,"C2,CQ,CK,C4;S8,S3,S10,S2;C3,C9,C5,H10;S9,S5,SK,S4;C6,HA,C8,H8;C7,HK,CJ,H7;D4,D6,D8,D2;DK,D10,DJ,D3;C10,HJ,SA,H6;CA,DQ,H9,DA;SQ,S6,H5,D9;H4,SJ,H2,D7;HQ,S7,H3,D5"
1571997105,3,2,2,"CQ,C2,C8,CA;S2,HK,S5,S4;S3,H10,S6,S8;S9,H3,S7,SJ;C6,CJ,C4,C3;SQ,CK,C5,C7;D7,D2,D5,D9;SA,DQ,S10,SK;DK,D3,D10,HA;H4,DJ,H5,H2;H9,D4,DA,HQ;H6,D8,H8,C10;H7,D6,HJ,C9"
1571997105,3,0,2,"C2,CK,CJ,CA;S2,SK,S3,S5;C10,C5,C6,C3;S4,HA,S7,S6;SQ,C7,C9,C4;D5,D10,D2,D7;D6,DJ,D3,DQ;SJ,HK,SA,S8;DK,DA,D4,H7;H2,H4,H6,CQ;HJ,HQ,D8,C8;H5,H10,D9,S10;H3,H8,H9,S9"
1571997105,3,2,2,"CA,C8,C2,C7;S6,S3,S2,S5;S7,SJ,S4,S8;D2,D4,D3,D8;C5,SA,C3,C4;S9,H9,S10,SK;DA,D5,DJ,D10;C6,H6,C9,HA;C10,H4,CJ,H10;CK,H3,CQ,H8;SQ,D9,HK,H7;H2,D7,HJ,H5;HQ,D6,DQ,DK"
1571997105,3,16,2,"C10,CQ,CK,C2;HK,S3,S7,S2;HQ,S4,S8,S6;H8,S5,S9,SQ;C4,C7,C5,C3;D4,D2,DQ,D3;D6,D5,D10,D8;H5,S10,SJ,HA;H2,SA,SK,HJ;D7,DJ,H9,DK;C6,H10,C8,CA;DA,H4,CJ,H3;D9,H7,C9,H6"
1571997105,3,6,2,"CA,C2,C8,CQ;S4,S9,S2,S3;C3,C7,SQ,C5;C4,CJ,SA,C6;D4,D2,D3,D5;D9,DJ,D6,D7;DK,DQ,D8,HK;S6,HA,S5,S8;C9,H9,SK,C10;H4,H3,H5,H2;H7,DA,D10,HQ;CK,H6,S10,H10;SJ,H8,S7,HJ"
