1571995980,3,0,2,"CJ,CA,C2,C10;S2,S3,SJ,S5;C7,C6,CQ,C3;D5,D4,D2,DQ;S4,S7,HK,S6;S9,S10,HQ,S8;C8,CK,HJ,C4;D7,D10,D3,H5;D8,DK,D6,H4;H9,H8,H6,H2;DA,SK,D9,H3;SQ,HA,H7,C9;SA,H10,DJ,C5"
1571995980,3,1,2,"CQ,C2,CJ,CA;S3,S5,S10,S2;C6,C3,C4,C5;S4,S6,SQ,SJ;C8,C9,C7,CK;DQ,D3,D5,D2;S7,S8,HQ,SK;HA,SA,D7,D4;HK,HJ,D10,D6;H10,H9,DJ,D8;H4,H5,DK,D9;H3,H2,H7,H6;S9,C10,H8,DA"
1571995980,3,18,2,"CJ,C2,CK,C9;S2,S4,S8,S5;S3,HA,S9,S6;C8,C3,C7,C4;S7,HQ,SQ,SA;C10,C5,HK,C6;DA,D2,D3,D5;S10,H7,H8,H10;SJ,DQ,H5,H9;SK,D10,D8,H6;H2,D9,D7,H4;HJ,CA,D4,DJ;H3,CQ,D6,DK"
1571995980,3,3,2,"C2,DQ,CA,CQ;S5,S2,S9,S4;C3,HA,C4,C7;S8,S3,SQ,S6;C6,HJ,C5,C8;C9,H10,SK,CJ;DA,D6,D4,D2;DJ,D10,D5,D3;S10,SJ,HK,S7;H3,H4,HQ,H2;H8,H9,D9,D7;CK,H7,DK,D8;C10,H6,H5,SA"
1571995980,3,0,2,"C7,C2,CK,CJ;S4,S3,S7,S2;S6,S5,S9,S8;H10,SQ,S10,SJ;C3,CA,C9,C8;D4,D8,D2,D3;D5,D9,D7,D6;H9,SK,SA,HA;C4,HQ,CQ,C10;DA,HJ,DJ,D10;C5,H7,HK,H8;C6,H3,DK,H5;H6,H2,DQ,H4"
1571995980,3,0,2,"CK,C2,CA,CJ;S6,S3,S4,S2;S8,S5,S7,SA;C4,C5,C9,C3;D4,D2,D5,D3;D6,D7,DQ,D8;SQ,H10,DK,D9;S10,S9,SK,HJ;H7,H4,H2,DA;C7,C8,HA,C6;HK,SJ,HQ,DJ;H9,H5,H3,D10;CQ,H6,H8,C10"
1571995980,3,13,2,"C2,CA,C10,CJ;S6,S3,S2,S7;SJ,S9,S4,S8;C3,C5,C6,C4;SQ,S10,S5,SK;DA,D4,D2,D3;D7,D5,D9,D6;D8,SA,DJ,D10;DQ,H6,DK,HJ;HQ,H2,H9,H3;C7,C8,HA,H8;CQ,C9,HK,H7;CK,H4,H10,H5"
1571995980,3,0,2,"C2,CQ,CA,C7;S6,H6,S3,S2;S8,H5,S4,S5;S9,H4,SJ,S7;C4,C3,C8,SQ;SA,C5,C10,SK;HA,C6,CK,H10;D2,D6,D7,D3;D5,D10,DJ,D4;D8,DK,DQ,D9;HK,DA,HQ,H8;HJ,C9,H9,H7;H3,CJ,H2,S10"
1571995980,3,0,2,"CQ,C2,CK,CA;S5,S3,S4,S2;S8,S7,S6,S10;C5,C4,C6,C3;C8,SK,C7,CJ;D3,D4,DQ,D2;HQ,HK,C9,SA;H8,HJ,C10,H10;D7,D5,DA,D8;H2,H7,H3,H5;SJ,S9,SQ,H6;DJ,H9,H4,DK;D10,D6,HA,D9"
1571995980,3,0,2,"CJ,CA,CK,C2;C6,C4,C3,HA;S6,SQ,S4,S2;C9,C8,C5,HK;D8,D2,D9,D5;D10,D3,DQ,D6;S8,HQ,S10,S3;S9,H9,SJ,S5;SA,CQ,C7,H5;DK,D4,H10,D7;SK,H6,H7,S7;H8,H2,H4,DA;HJ,H3,C10,DJ"
1571995980,3,0,2,"C2,CQ,CK,SK;S6,S2,S9,S3;C4,C6,C3,SQ;C5,C7,C8,HA;D2,D5,D4,DK;HJ,S4,SA,S5;D3,D7,D6,HK;D10,D9,D8,HQ;DQ,DJ,H9,H10;DA,H6,H8,H7;C10,C9,H5,SJ;CA,CJ,H3,S10;H4,S7,H2,S8"
1571995980,3,6,2,"CA,C2,CJ,CK;S9,S2,S3,S8;D2,D10,D3,D5;SQ,S5,S4,S10;D4,D6,DQ,D7;SK,C6,C4,C3;H10,S6,HA,SJ;H8,C8,C5,C7;H4,S7,H7,SA;D9,HK,H6,D8;DK,H9,H5,DJ;DA,CQ,H3,HQ;H2,C10,C9,HJ"
1571995980,3,13,2,"CA,C2,CK,CJ;S2,S4,S5,SQ;C4,C5,C7,C3;C8,C6,CQ,C9;D3,D7,D4,D2;D10,DQ,D5,D6;DK,DA,D9,D8;S3,S6,S10,HA;H8,HK,H2,H4;S7,S9,H9,HQ;S8,SJ,H6,HJ;H10,SK,H5,H7;C10,SA,H3,DJ"
1571995980,3,4,2,"CA,CK,C2,C7;S2,S3,S9,S7;C6,C4,C3,SA;S5,S4,SK,S8;CQ,C9,C5,HK;SJ,S6,H9,HJ;D3,DQ,D4,D2;SQ,S10,H6,H8;D10,D5,D8,D6;H3,H4,H2,H7;HA,DJ,DA,D7;HQ,CJ,C8,DK;H5,H10,C10,D9"
1571995980,3,3,2,"C8,CJ,CA,C2;S3,S4,S5,S2;S6,SQ,S10,S8;C3,C4,CQ,C6;D5,D4,D2,DA;S7,HQ,SK,S9;DJ,D7,D3,H8;DK,D9,D6,H4;H6,H5,H2,H3;H7,DQ,H9,CK;HA,D10,D8,C9;HJ,C5,SA,C7;H10,C10,HK,SJ"
1571995980,3,0,2,"C2,C10,CA,C4;C7,C3,C6,HA;S4,S2,SQ,S3;CQ,C5,C9,HQ;D5,DJ,D8,D2;D6,D10,D9,D3;S8,S7,SA,S5;DK,HJ,DQ,D4;SK,SJ,H10,S6;H2,H6,H8,H4;HK,H9,DA,D7;H5,C8,CJ,S10;H3,H7,CK,S9"
1571995980,3,15,2,"C2,C5,CK,CA;S5,S2,S6,S4;S10,S3,S7,SQ;DK,D7,D2,D5;DJ,DQ,D3,D9;HQ,S8,SJ,SA;HJ,SK,D4,D10;C6,C3,C7,C4;H9,H8,D6,HA;H4,H5,D8,H10;CQ,H3,DA,H6;CJ,H2,H7,C10;C8,S9,HK,C9"
1571995980,3,5,2,"C2,C9,C8,CA;S6,S5,S2,S3;C7,C3,C4,C6;CJ,SK,C5,C10;CQ,HK,SQ,HA;CK,H10,HJ,H8;D3,D2,D6,D10;D8,D4,DJ,DQ;D9,D5,H9,DK;SA,D7,H4,DA;HQ,S8,S7,S4;H7,SJ,S9,H6;H2,H3,S10,H5"
1571995980,3,1,2,"CQ,CK,C2,C8;SK,S2,S3,S4;C4,C3,C10,H10;HK,S6,S5,S7;HQ,S9,SJ,S8;C5,C6,CJ,H8;C7,C9,CA,H5;D5,D2,D3,D4;H2,H4,H7,DK;HJ,D9,D6,D7;H9,DQ,D8,D10;H6,DA,SA,DJ;H3,SQ,HA,S10"
