1571999021,2,0,1,"CA,CK,C10,C2;S8,S7,S2,S3;S10,S9,S4,SK;C5,C3,C9,C4;H9,SJ,S5,HA;C7,C6,HK,CQ;D3,D2,D5,D4;H8,SQ,S6,H5;D7,D6,D8,D9;DA,SA,D10,DJ;C8,HQ,HJ,H4;CJ,H7,H10,H3;H2,H6,DQ,DK"
1571999021,2,0,1,"C2,C7,CQ,CA;S3,S4,S2,S6;S8,S5,S7,S9;C4,C3,C8,C6;S10,SK,SJ,HA;D2,D3,D5,DJ;C5,HJ,SQ,C9;DK,D4,D6,DQ;SA,H9,HQ,HK;C10,H3,H10,CJ;H7,D7,D9,DA;H4,D10,H8,CK;H2,D8,H5,H6"
1571999021,2,3,1,"C6,C2,CQ,CJ;S2,S6,S10,S3;S4,S7,SJ,SQ;SA,C8,C3,C5;D5,D4,D3,D2;D6,D7,SK,D8;D9,HK,HA,D10;DJ,H3,HQ,DK;DQ,CA,HJ,DA;H2,CK,H7,H4;H8,C9,C4,H10;S5,S8,C10,H9;H5,S9,C7,H6"
1571999021,2,5,1,"CA,C10,CQ,C2;S2,S4,S7,S6;S3,SJ,S10,S8;D3,D7,D2,D4;D6,D9,D5,D8;SQ,DA,DJ,D10;H7,H2,H3,H5;S5,HA,SK,S9;HK,HQ,DK,DQ;C8,HJ,SA,H10;C4,H8,C3,CJ;C5,H6,C7,CK;C6,H4,C9,H9"
1571999021,2,0,1,"CJ,C2,CQ,CA;S9,S4,S2,S3;S10,S6,HA,S5;SJ,S7,H9,SK;C9,CK,C4,C3;HQ,S8,H7,H3;D9,DA,D3,D2;HJ,SA,DJ,D8;H10,SQ,D10,D7;H2,H4,D4,D6;H5,H6,C10,D5;DK,H8,C8,C7;DQ,HK,C6,C5"
1571999021,2,0,1,"SA,C2,C10,CA;S5,HQ,S2,S3;S7,H10,S4,S8;S10,H9,S6,S9;D4,D3,D2,D7;SQ,DA,HJ,SJ;DJ,D6,D5,D10;SK,DQ,H8,H7;H2,CK,H3,H6;HA,CJ,D8,DK;HK,C5,C4,C3;H5,C6,C7,C9;H4,C8,D9,CQ"
1571999021,2,16,1,"C5,CQ,C2,CK;S3,S10,S2,SJ;SQ,C4,C7,C3;D7,DK,D5,D2;S6,SK,S4,H6;S7,SA,S5,H5;HQ,C6,C9,C10;D10,HK,D9,D3;S8,HJ,HA,DA;S9,H9,H3,DQ;H2,H7,DJ,D8;H10,C8,CJ,D6;H4,H8,CA,D4"
1571999021,2,4,1,"C10,CJ,CA,C2;S2,S6,S4,S3;S10,S7,S5,S8;C8,C3,C5,C4;D2,D3,D4,D6;SQ,HA,SJ,S9;D7,DA,D5,D8;SK,C7,C6,CQ;DK,D10,SA,D9;H2,H4,H5,H3;HQ,HJ,C9,CK;H6,DQ,H7,H8;H9,DJ,H10,HK"
1571999021,2,10,1,"C10,CQ,CK,C2;S3,S4,S2,S7;SK,S8,S5,SJ;C3,C6,C7,C4;H7,S9,S6,SQ;D2,D5,D6,D8;D3,D9,DQ,DA;C9,HJ,C8,C5;D4,DJ,SA,HK;H2,H4,HA,H3;DK,H10,S10,HQ;D10,H5,H8,CA;D7,H6,H9,CJ"
1571999021,2,0,1,"C2,C10,CK,CA;S2,S3,S5,S4;SQ,S6,S8,S9;D2,DQ,D4,D3;C3,C4,HA,C7;C5,SA,HK,C8;C6,SK,HJ,C9;DJ,D6,D5,D7;CJ,HQ,H10,H6;CQ,H8,H2,H3;H4,H7,DA,DK;H9,D10,D8,D9;H5,S7,S10,SJ"
