1571996520,2,26,2,"C10,CJ,C2,CA;S8,S2,S10,S3;SA,S6,SJ,S4;C3,SQ,C4,C6;DQ,D2,D4,D7;C5,H6,C7,CQ;HA,H5,H9,S5;HJ,H3,DA,S7;H8,DJ,DK,S9;H7,D9,D10,SK;H2,D8,D5,H10;H4,D6,CK,HQ;C8,D3,C9,HK"
1571996520,2,0,2,"CA,C8,C2,C10;S4,S3,S8,S2;S9,S5,SJ,S7;C9,HJ,C4,C3;CQ,H7,C5,C7;D3,D4,D2,DJ;SA,S6,HQ,S10;D7,D5,DK,DA;HA,H6,H10,SK;H9,D10,H8,SQ;H3,D9,CK,H2;DQ,D6,CJ,HK;H5,D8,C6,H4"
1571996520,2,0,2,"C2,CA,CK,CJ;S4,S5,S2,S3;SJ,S10,S7,S6;C5,CQ,C4,C3;SA,C6,C10,C9;H8,HA,S8,S9;D2,DA,D3,D4;H7,C7,H10,SQ;H3,C8,H6,SK;DJ,H4,H2,H5;D6,HK,D5,D10;D7,HQ,D8,DQ;D9,HJ,DK,H9"
1571996520,2,1,2,"C2,CA,CQ,C10;S7,S5,S8,S2;CJ,C3,C4,C5;S10,S6,HQ,S3;CK,C7,HJ,C6;D2,D4,D8,D5;D3,SK,D9,D7;D6,HK,DJ,D10;SQ,H10,DQ,DK;HA,S9,H6,S4;H9,SJ,H3,SA;H8,C9,H2,C8;H4,H5,DA,H7"
1571996520,2,15,2,"CA,C2,CK,C10;S2,S7,S5,S3;C3,C4,C6,SQ;C8,C5,C7,SA;C9,HA,CQ,HQ;D2,D5,D4,D3;D7,D6,D8,D9;DK,DA,D10,DJ;H4,H2,H6,HJ;SK,HK,H10,DQ;S9,H8,S8,S4;CJ,H5,H9,SJ;H7,H3,S10,S6"
1571996520,2,15,2,"CK,C2,CA,C10;S2,S3,S4,SK;C5,C6,C9,C3;S6,S8,S5,H6;C7,C8,CJ,C4;S9,HK,S7,H2;S10,HQ,SQ,DA;DJ,D4,D2,D5;DK,HJ,D3,D7;SJ,H10,SA,DQ;HA,H7,D6,D8;H9,H5,H8,D9;CQ,H3,H4,D10"
1571996520,2,16,2,"CQ,C2,CA,C8;HA,S3,S2,S4;H8,S6,SQ,S5;D5,D3,D4,D2;C6,C3,C5,SA;C9,C4,C7,HJ;C10,CJ,CK,H10;D6,DA,DJ,D8;H3,S7,SK,S8;DK,H4,H2,H5;D7,HQ,HK,D10;DQ,S9,H9,S10;D9,SJ,H6,H7"
1571996520,2,0,2,"CA,CQ,CK,C2;S3,S6,S5,S2;S4,S8,S7,S9;HQ,SQ,H10,S10;D2,D4,DJ,D3;D8,D6,D5,DA;D10,SA,D7,DQ;H5,HK,D9,DK;H3,HJ,H4,SJ;H2,H9,CJ,SK;C8,H6,C9,H7;C7,C10,C4,H8;C5,C6,C3,HA"
1571996520,2,4,2,"CK,CJ,C2,CA;S4,S2,SJ,S5;C4,C7,C10,C3;C8,C9,CQ,C5;D10,D7,D2,D3;S6,S3,SK,S8;DQ,D8,D6,D4;S7,S9,HK,S10;SA,SQ,H10,C6;HQ,HJ,DK,D5;H9,H6,DA,D9;H5,H2,H4,HA;H7,H3,H8,DJ"
1571996520,2,2,2,"C8,C2,CA,CK;S2,S5,S6,S3;S7,HK,S8,S4;SJ,HJ,S10,S9;C4,C10,C6,C3;D9,D3,D2,D5;C7,H10,C9,C5;SA,D6,D4,D8;SK,H2,SQ,CJ;HQ,DA,HA,CQ;H6,DK,H4,H3;H8,D10,DQ,H5;H9,D7,DJ,H7"
1571996520,2,0,2,"CA,C2,CQ,C10;S4,S2,S5,S3;S9,S8,S6,SA;C3,HK,C4,C6;C5,H9,C7,C8;CK,H7,CJ,C9;SJ,S10,S7,HJ;DQ,D2,D4,D5;H5,H4,H3,H2;H8,H6,SQ,DA;H10,DK,SK,DJ;HQ,D8,D7,D10;HA,D3,D6,D9"
1571996520,2,15,2,"C7,CA,CJ,C2;S4,S2,S9,S5;SQ,C3,C6,C4;D6,D7,D5,D2;DQ,D10,D8,D3;DA,HJ,DJ,D4;S7,S3,SK,S6;HK,H8,DK,D9;H9,H4,H2,H7;S10,CK,HA,S8;SJ,C10,H6,SA;HQ,C8,H5,C5;H10,C9,H3,CQ"
1571996520,2,6,2,"CJ,C7,CK,C2;S3,S5,S2,S10;C3,C5,C6,C8;C4,H8,C10,C9;S6,S9,S4,SA;SQ,H7,CQ,CA;D5,D3,DA,D2;SJ,DK,S7,HK;D6,D4,SK,D7;H5,DQ,H2,H3;DJ,D8,HJ,HQ;H6,D10,H9,H4;HA,D9,S8,H10"
1571996520,2,0,2,"CA,C2,C8,CK;C3,C7,C5,C4;SK,S4,S2,S8;C9,C6,HJ,C10;HA,S5,S3,S9;HQ,S6,S7,S10;DK,D6,D3,D2;CJ,SQ,H9,H10;D8,D7,D5,D4;CQ,SA,H6,H5;H2,H7,H4,DA;H8,SJ,DJ,DQ;H3,HK,D9,D10"
1571996520,2,14,2,"C2,SA,CK,C8;S4,S3,S8,S2;C5,SK,C9,C3;C7,HA,C10,C4;CQ,H5,CJ,C6;S9,S5,SQ,S7;D3,D2,D4,DA;D5,D8,D6,D10;D9,DQ,D7,DK;H10,H4,H3,H2;DJ,SJ,HQ,HK;CA,S10,H9,HJ;H6,S6,H7,H8"
1571996520,2,13,2,"CQ,CA,C2,C10;S9,S3,S2,S5;C9,C6,C3,C4;D3,DA,D2,D4;SQ,S4,S7,S6;D6,D10,D5,D9;SK,CJ,C8,C5;H8,H2,HK,H3;HJ,H10,S10,S8;DK,H9,SJ,HA;DQ,H7,SA,H5;D8,H6,CK,C7;D7,H4,HQ,DJ"
1571996520,2,0,2,"C2,CQ,SK,CA;S6,S3,S4,S2;S7,S9,S5,SJ;C4,C9,SQ,C3;DJ,D6,D2,D4;DK,D10,D3,D7;C5,HA,H9,C7;H10,S10,S8,SA;C6,HK,H8,C10;C8,HJ,H5,CJ;H2,H7,D9,H3;H6,DQ,D5,HQ;CK,DA,D8,H4"
1571996520,2,1,2,"C8,C5,C2,CK;S7,SJ,S10,S2;D3,D6,D4,D2;D5,D7,SA,D10;S8,HJ,SK,S3;SQ,H9,C3,C7;S9,H7,H4,S4;DJ,D8,H2,H10;H3,H6,CA,H8;HA,DA,CJ,S5;HK,DK,C9,S6;HQ,DQ,C4,C10;H5,D9,C6,CQ"
1571996520,2,0,2,"C7,CA,C2,CK;S5,S3,S6,S2;S9,S4,S10,S7;SK,HA,SJ,S8;C3,CQ,C4,C10;D2,D4,D8,D10;D3,D5,SQ,DJ;D7,D6,SA,DQ;HK,H7,H6,H2;C6,HJ,C5,H10;D9,DK,CJ,H5;HQ,H8,C9,H3;DA,H9,C8,H4"
1571996520,2,3,2,"C2,CQ,C5,CJ;S5,S8,S2,S4;H9,SJ,S3,S6;C3,C6,C4,C8;H4,SQ,S7,S9;C7,C10,HK,SA;D5,D3,D2,D8;D7,D9,D4,DJ;D10,DQ,D6,DA;DK,HQ,S10,SK;CA,H6,H5,H2;CK,H7,H10,H3;C9,H8,HJ,HA"
1571996520,2,18,2,"CQ,C2,C9,CA;S7,S3,S6,S2;S10,HK,SQ,S4;C6,C5,C3,C10;D2,D5,D3,DQ;SA,H9,SK,S5;D4,D6,D8,HQ;C7,CK,C4,H10;DK,D7,D9,H4;CJ,H8,C8,H3;H2,H5,HA,SJ;HJ,DA,D10,S9;H6,H7,DJ,S8"
1571996520,2,2,2,"CK,C6,C2,CQ;S4,S7,S3,S2;D4,D3,D2,D10;SK,HA,S8,S5;C4,HK,C3,C8;SA,HQ,S10,S6;C5,H7,C7,C9;HJ,H2,SJ,S9;CJ,DK,CA,C10;D5,D7,D6,DA;H6,D8,SQ,DJ;H3,DQ,H4,H9;H5,D9,H8,H10"
1571996520,2,19,2,"C2,CJ,C9,CA;S3,S7,S2,S6;C3,C7,C4,C6;SQ,D4,D5,D2;SK,D6,D8,D3;HK,D7,DK,DJ;HJ,D9,DA,H10;S5,SA,S4,S8;H8,D10,HA,H4;CQ,DQ,H9,H2;C10,H3,H5,CK;S9,HQ,SJ,S10;C5,H7,H6,C8"
