1571996535,2,1,2,"C5,CK,CQ,C2;S4,S3,S2,SJ;C3,C7,C6,C4;S7,S6,S5,SQ;HJ,C8,CJ,C9;D4,D2,D9,D6;D5,D3,D10,DA;H10,C10,SA,CA;D7,SK,H9,DQ;D8,HK,H6,DK;H3,H2,H4,H7;DJ,H8,H5,HQ;S9,S10,S8,HA"
1571996535,2,1,2,"CK,C10,C2,C7;S2,S4,HA,S3;S5,S6,HK,S9;DQ,D5,D2,D3;S8,S7,H8,SK;D6,D10,D4,D9;C3,C4,C6,HQ;CJ,C5,C8,H10;S10,SQ,D8,H9;H7,DK,D7,DJ;SJ,SA,CA,H6;H3,H5,CQ,H2;H4,HJ,C9,DA"
1571996535,2,19,2,"C9,C2,CA,C10;S3,S8,S9,S2;C8,CQ,C4,C3;S5,SJ,SQ,S4;SK,SA,C7,C5;HQ,HA,CJ,C6;H8,HK,CK,H9;D9,D5,D3,D2;DK,D7,D4,D10;S6,H10,HJ,S7;H3,H4,DA,H2;H7,D8,D6,H6;S10,DJ,DQ,H5"
1571996535,2,15,2,"CA,CK,C2,CQ;S2,S5,S4,S3;S6,S10,SQ,S7;D6,D2,D3,D5;D8,DA,D4,D7;SA,D9,HK,D10;C4,C5,C3,C7;SK,C6,C9,C10;HA,H7,HQ,DJ;H8,H2,HJ,DQ;H6,CJ,H10,DK;S9,C8,H4,H3;S8,SJ,H5,H9"
1571996535,2,2,2,"CA,CQ,C2,CJ;S3,S5,S4,S2;S9,S6,S7,S10;C4,C5,C3,C6;CK,C9,C8,C7;D2,D5,D9,D7;SQ,S8,SJ,SA;D3,DK,DA,D8;HJ,SK,C10,HA;DQ,H2,H3,H5;D4,HK,HQ,D10;DJ,H4,H6,H9;D6,H7,H8,H10"
1571996535,2,13,2,"CA,CK,C8,C2;S2,S3,S5,S4;D3,D6,D5,D2;S10,S8,SQ,S6;D9,DJ,D8,D4;SA,DK,D10,D7;H6,DA,SK,DQ;SJ,S9,HA,S7;C5,C3,HK,C4;C6,CJ,HJ,C7;CQ,H8,H3,H2;C10,H10,H5,H4;C9,HQ,H7,H9"
1571996535,2,0,2,"C2,CQ,C8,CA;S5,S2,S3,S6;S9,HA,S4,S8;C6,C3,C5,C4;CK,C7,SQ,C9;D2,D5,DQ,D3;D10,D7,DA,D4;SK,HJ,S7,H8;DJ,D8,H9,D6;SA,H10,S10,H7;H3,H4,H2,DK;HK,CJ,H6,C10;HQ,H5,SJ,D9"
1571996535,2,1,2,"CQ,C2,CJ,CA;S10,S2,S5,S7;SJ,S3,S6,HK;C7,C4,C3,C8;C10,C5,SQ,CK;D2,D10,D9,D5;D3,DK,DQ,D6;SA,S4,SK,HJ;D4,H4,DA,D8;H6,C9,H2,H3;D7,C6,HA,DJ;H7,S9,H5,H8;HQ,S8,H10,H9"
1571996535,2,0,2,"C2,CA,C9,CK;S2,S3,S7,S4;S5,S9,S8,S6;C6,C5,HK,C3;D6,D4,D2,D5;D8,D10,D3,DK;SA,C10,H9,C4;D9,DJ,D7,H10;HJ,SK,S10,H7;H6,SQ,SJ,CQ;H2,H5,H4,CJ;H3,HQ,H8,C8;DQ,HA,DA,C7"
1571996535,2,3,2,"CQ,CK,C2,CA;S6,S4,S2,S3;CJ,C6,C3,C4;D3,D2,D6,D9;HA,S10,S5,S7;HJ,C8,C5,HK;H7,C9,C7,H10;H5,C10,SQ,H8;D5,D4,SA,D10;DQ,D7,SK,DJ;DK,D8,HQ,H4;H2,H6,H9,SJ;H3,DA,S8,S9"
1571996535,2,14,2,"C2,CK,CA,C7;S5,S2,S3,S6;S7,S4,S8,S9;SJ,HA,SQ,S10;C6,C3,C4,HK;C9,C5,SA,H10;D2,DQ,D5,D4;D3,D9,D7,D8;HQ,C8,SK,H8;HJ,C10,H9,H7;DJ,CJ,H4,H5;D10,CQ,H2,H3;D6,H6,DK,DA"
1571996535,2,19,2,"CJ,CA,CK,C2;C7,C3,C4,C8;S2,HJ,S4,S3;S9,H8,S6,S5;C9,C5,C10,SQ;D7,D4,D5,D2;D10,D6,HK,D3;DK,D9,H10,D8;SK,H7,S7,S8;H3,DA,H2,H5;HA,DQ,SJ,S10;HQ,C6,CQ,SA;H4,DJ,H9,H6"
