1571999416,0,0,0,"SA,C2,CQ,CA;S3,S2,S6,S5;S4,S8,S9,S7;H7,C3,C6,C4;D3,D2,D4,DA;H4,C5,SQ,C7;D5,D6,D7,D10;H3,C10,HA,C8;S10,SK,H10,HJ;H2,CK,H5,C9;DK,H6,DQ,H8;D8,HK,DJ,CJ;SJ,HQ,D9,H9"
1571999416,0,13,0,"CK,CQ,CJ,C2;S3,S4,S7,S2;S6,S5,S8,SJ;C3,C5,C6,C4;D2,D4,D5,DA;C10,SQ,SA,C7;D3,D7,D9,D6;D8,DK,D10,HQ;S9,S10,SK,H5;HA,H10,DJ,H3;HJ,H9,DQ,CA;H2,H6,H4,C9;H7,H8,HK,C8"
1571999416,0,19,0,"CA,C2,CK,C8;S9,S4,S6,S2;S10,S5,S7,S3;SJ,HA,H6,S8;C7,C3,C5,SQ;D2,D4,D5,D3;D6,D8,D7,DA;DJ,HQ,D9,DQ;SK,H8,D10,DK;HK,H4,H3,SA;H7,CQ,C10,H2;H9,CJ,C9,H5;H10,C4,C6,HJ"
1571999416,0,0,0,"CQ,C2,CK,CA;S10,S4,S3,S2;C3,C4,CJ,C5;SK,S6,S9,S5;C7,C6,SQ,C8;DA,D6,D4,D2;C9,C10,SA,HA;D8,DQ,D5,D3;HQ,S7,H10,SJ;D9,HK,D7,D10;HJ,H4,H8,DJ;H9,H2,H7,DK;H3,S8,H6,H5"
1571999416,0,0,0,"CK,CA,C2,C10;S5,S3,S2,S4;S8,S10,S9,S6;C7,C6,CQ,C3;HA,C8,C9,C4;D3,D10,D2,D8;HJ,CJ,SQ,C5;SJ,SA,H6,S7;DA,H2,H4,H3;D4,HK,D6,SK;D5,HQ,D9,H8;D7,H10,DJ,H7;DQ,H9,DK,H5"
1571999416,0,13,0,"CA,C2,C8,CK;S4,S5,S2,S3;S6,S9,S7,S8;C3,C7,C4,C6;D5,D3,D2,D8;C9,SA,C5,CQ;D7,D4,DJ,D9;SJ,SK,S10,SQ;DK,D6,HA,DQ;C10,H6,HK,HQ;CJ,H5,H10,H9;H8,H3,H4,H2;HJ,D10,H7,DA"
1571999416,0,3,0,"CK,D10,CQ,C2;S4,S2,S3,S7;C5,HK,C9,C3;C7,H8,C10,C4;C8,D7,CJ,C6;D2,D3,D8,D5;S5,S6,SA,HA;SQ,S8,SK,H10;H7,D6,H3,H2;D9,D4,HQ,DK;DJ,SJ,H9,DA;HJ,S10,H5,CA;DQ,S9,H4,H6"
1571999416,0,3,0,"C9,C2,CA,C7;S2,S3,S8,S4;S5,S7,S10,SK;C6,C10,C4,C3;S6,SJ,SA,HJ;C8,CQ,CJ,C5;HA,CK,H8,H7;D3,D7,D4,D2;S9,SQ,H4,H5;H2,H6,DJ,DA;H3,H9,D9,DK;HQ,H10,D6,DQ;D10,HK,D5,D8"
1571999416,0,15,0,"C2,C10,C8,CA;S6,S4,S2,S8;SK,S7,S3,S9;C6,C4,C3,C5;CJ,HA,C7,C9;CK,HQ,SQ,CQ;D5,DK,D3,D2;D8,D6,DJ,D4;SA,DQ,D10,D7;HK,S10,S5,SJ;H7,H8,HJ,D9;H4,H5,H9,DA;H3,H2,H6,H10"
1571999416,0,0,0,"C2,C9,CA,CK;S4,SA,S2,S3;C6,C5,C3,C4;S5,H9,S8,S6;C10,C7,CJ,HA;SQ,C8,CQ,H8;SK,D2,D3,D4;HK,D5,D8,D10;HQ,D6,DQ,DJ;H3,H4,H5,H2;S10,DK,H7,H6;S9,D9,H10,DA;S7,D7,HJ,SJ"
1571999416,0,0,0,"CJ,C10,C2,C9;S9,S2,S4,S3;C6,C3,C8,C4;SA,S7,S8,S5;D2,D6,D7,D4;HA,SK,S10,S6;HK,C7,CQ,C5;HQ,H9,SJ,SQ;D3,D8,D10,DJ;D5,D9,H8,DK;H4,H2,H6,H5;H7,H3,CK,HJ;DQ,DA,CA,H10"
1571999416,0,5,0,"C9,C2,C10,CK;S2,S3,S9,S4;S6,S5,SJ,SQ;C6,CQ,C3,C5;C8,CA,C4,CJ;DK,D8,D5,D2;S7,S8,SA,SK;HA,H10,C7,H4;HJ,D9,D6,D3;H9,DA,DQ,D4;H6,H2,H3,DJ;S10,H7,HK,D10;H8,H5,HQ,D7"
1571999416,0,2,0,"CK,C2,CJ,CA;S5,S6,S3,S2;S10,S7,S4,SQ;D2,D4,D5,D3;C5,C10,C7,C3;D8,D6,D7,D9;DQ,SA,D10,DK;C6,SK,C8,C4;DA,HA,DJ,H9;H2,H10,H6,H4;HK,S8,HQ,H5;HJ,S9,H8,CQ;H3,SJ,H7,C9"
1571999416,0,9,0,"CK,C2,C5,CQ;S3,S4,S2,S5;S6,S7,SA,S8;D2,DK,D6,D3;C6,C3,HK,C4;S9,H9,HQ,H8;S10,H6,HJ,H2;SJ,H4,H10,D10;C8,C9,H7,C7;SQ,C10,H5,D8;SK,CJ,DA,D7;HA,CA,DQ,D5;DJ,H3,D9,D4"
1571999416,0,0,0,"CQ,CA,CK,C2;S6,S4,S2,S5;C4,C3,C9,C6;HQ,S8,S3,S7;H2,S9,SJ,S10;D2,D5,D10,D3;D9,HA,SK,SA;C7,C5,SQ,C10;D4,D7,HK,DJ;D8,H6,H3,H7;D6,DA,H4,H9;CJ,DK,H5,H10;C8,DQ,H8,HJ"
1571999416,0,0,0,"CA,C9,C2,CQ;S2,S4,S6,S8;CK,C5,C3,C4;S3,S7,S9,SA;C7,C6,CJ,C10;S5,SQ,S10,HK;HQ,C8,SK,H9;D2,D3,DQ,D5;D4,D7,D9,D6;H6,DJ,D10,D8;H4,DK,HA,DA;H2,H5,H3,H7;SJ,HJ,H10,H8"
1571999416,0,8,0,"CK,CA,CQ,C2;S2,S8,S3,S5;S10,S9,S4,S6;C7,C3,C5,SA;C10,C4,C6,HA;CJ,C8,HJ,HQ;D4,DA,D8,D2;SQ,C9,H10,H4;D5,D9,DK,D3;D6,HK,DQ,D7;SK,H9,S7,SJ;D10,H6,H8,DJ;H7,H2,H5,H3"
1571999416,0,4,0,"C2,CJ,C10,CA;S3,S4,S2,S5;SJ,S6,S9,S7;C3,C5,SQ,C4;C6,C8,SK,CK;D4,D3,D2,D9;H10,H4,H2,H3;C7,C9,HQ,HA;D5,D8,D10,HK;D6,DA,DQ,H9;DJ,S8,S10,H8;D7,SA,DK,H7;CQ,HJ,H6,H5"
1571999416,0,2,0,"C2,CK,CQ,C8;S4,S2,S3,S5;SQ,SA,S9,S6;C6,C4,C3,C5;CJ,C9,C10,C7;CA,HA,SK,HK;D3,D8,DJ,D2;D4,D9,DK,D5;D7,DQ,DA,D6;H9,HQ,S10,S7;H2,H5,H3,D10;H4,H8,H6,SJ;H7,HJ,H10,S8"
1571999416,0,0,0,"C5,CK,CA,C2;S4,S2,S8,S3;S6,S5,S10,HK;C4,C10,C6,C3;SJ,S7,SK,H10;HQ,CJ,C8,C7;HJ,S9,HA,H7;D2,D3,D4,D5;H8,SQ,CQ,C9;D7,D6,D8,DJ;D9,DQ,DA,D10;H4,H9,H2,H5;DK,SA,H3,H6"
1571999416,0,26,0,"CQ,C10,C2,CA;S2,S4,S8,S5;C9,C3,C4,CK;S3,S6,SK,S9;HQ,C7,C5,SA;H5,S7,H10,HK;DK,S10,H9,HJ;DQ,SJ,H7,H6;D2,D7,D5,D3;DJ,SQ,H2,H4;D9,H3,CJ,DA;D8,H8,C8,D10;D6,HA,C6,D4"
1571999416,0,7,0,"C9,CA,CJ,C2;S3,S8,SJ,S2;C4,C6,C5,C3;S4,S9,SA,S6;SQ,C7,C8,C10;SK,CK,HA,CQ;D4,D3,D2,D8;D7,D5,D9,DK;S5,H7,HJ,S7;HK,H6,H10,S10;HQ,DJ,H2,H3;DQ,D6,H8,H9;DA,D10,H5,H4"
1571999416,0,0,0,"C2,CK,CQ,CA;HK,S3,S9,S2;HJ,S4,S10,S5;C4,C9,C3,C6;H10,S6,SK,S7;C7,C10,C5,SQ;H7,CJ,C8,HQ;D4,D3,D2,DQ;D5,D8,D9,DK;H3,SJ,SA,S8;D6,D10,DJ,H9;D7,HA,DA,H5;H2,H6,H8,H4"
1571999416,0,7,0,"CA,C9,C2,CK;S3,SA,S2,S5;C3,C5,C4,CQ;S6,H9,S4,S9;S7,H7,S8,SJ;D2,D7,D9,D3;SK,D10,DJ,D4;HQ,DQ,DK,D5;H10,H2,H4,H3;S10,H6,HA,SQ;CJ,DA,HK,D6;C7,C6,HJ,H8;C10,C8,H5,D8"
1571999416,0,0,0,"C2,CA,CK,CQ;C5,C4,C3,C7;S2,SA,S3,S4;C8,C6,HA,C9;S5,HK,S8,S6;S7,HQ,S9,SQ;SK,HJ,H10,C10;H7,H9,D9,CJ;DK,D5,D2,D3;D7,DQ,D4,DJ;H5,H2,D6,H6;D8,H4,SJ,DA;D10,H3,S10,H8"
1571999416,0,0,0,"CK,CA,CJ,C2;S3,S5,S2,HK;S4,S6,S10,H7;C8,C3,C4,C5;S7,S9,SQ,D9;D5,D2,D8,D3;DK,DA,D10,D4;S8,SK,HA,D7;SJ,SA,H10,D6;HQ,C7,H8,C6;H2,H4,H5,CQ;H9,HJ,DJ,C10;H3,H6,DQ,C9"
1571999416,0,16,0,"CQ,CA,CK,C2;S3,S4,S7,S2;SQ,S6,S9,S5;CJ,C9,C5,C3;D2,DA,D3,D6;HK,S8,SJ,S10;D5,SK,D4,D9;HQ,C10,SA,C4;H4,H3,H10,H2;D8,HJ,D7,HA;DJ,H9,D10,C8;DQ,H8,DK,C7;H5,H6,H7,C6"
1571999416,0,0,0,"C2,CK,CA,C8;S3,S9,S4,S2;SA,S10,S5,S7;C10,C3,C6,C5;CQ,C4,C7,SK;D2,D6,D4,D7;HK,HA,S6,S8;HJ,H10,SQ,SJ;H6,CJ,C9,H9;D3,D9,D8,DQ;D5,H8,DA,DK;DJ,H2,H7,H3;D10,H4,HQ,H5"
1571999416,0,1,0,"C8,C2,CA,C10;S8,S3,S5,S2;S10,SA,S7,S4;C3,C6,CJ,C4;HQ,HJ,S9,S6;H10,H7,SJ,SK;D2,D5,D3,D7;D9,D6,D4,DQ;H2,H4,H5,H3;D10,CK,D8,HA;C5,C7,SQ,HK;DK,C9,H8,H9;DJ,CQ,DA,H6"
1571999416,0,0,0,"CA,C9,C2,CK;S2,S4,S3,S8;S5,S6,S7,S10;H10,C5,C6,C3;H9,C8,C7,C4;SJ,S9,HQ,SQ;D2,D5,DK,D3;H5,SA,C10,SK;H2,HA,CJ,HK;DJ,H6,CQ,HJ;D10,DQ,H3,H7;D4,D6,H8,D7;D8,D9,H4,DA"
1571999416,0,17,0,"C8,CK,C2,CA;S8,S4,S9,S2;S10,S5,SJ,S3;C3,C4,C10,C9;C5,HA,CJ,SA;C6,HQ,CQ,SK;D3,D4,D2,DQ;SQ,S6,H8,S7;D10,D9,D7,D5;C7,HJ,H4,H10;H2,H5,H3,H6;HK,DJ,D8,D6;H9,DA,DK,H7"
1571999416,0,0,0,"CJ,CA,CK,C2;S3,S6,S5,S2;S9,SJ,S7,S4;C9,C3,C5,C7;S10,SK,S8,H9;SQ,C4,C6,CQ;D3,DK,D6,D2;HJ,C10,C8,H4;H3,H5,H2,DA;H6,H7,HQ,DQ;D4,HA,D8,D5;D9,H10,SA,DJ;D7,H8,HK,D10"
1571999416,0,0,0,"CA,C2,C10,CK;S2,S5,S4,S7;S3,SJ,S6,S10;C8,C6,C5,C3;S8,H10,S9,SQ;C9,C7,SK,C4;CJ,CQ,HK,HA;D4,D5,D9,D2;D10,D6,D8,D3;DJ,D7,HQ,DQ;SA,DA,HJ,DK;H5,H3,H9,H2;H7,H8,H6,H4"
1571999416,0,22,0,"CK,C10,C2,C5;S8,S2,S5,S3;C6,C3,C4,SQ;C9,C7,C8,HA;CJ,H7,CQ,HK;SA,H5,CA,H8;D2,D3,D6,DJ;D10,D4,DK,D7;HJ,D8,H2,H4;DQ,D5,H10,D9;DA,S9,H9,SJ;SK,S6,H6,S4;HQ,S7,H3,S10"
1571999416,0,5,0,"CQ,C10,CK,C2;S2,SK,S6,S3;SA,C3,C6,C4;S4,HA,S10,S5;HQ,C5,C8,CA;S8,HK,HJ,S7;S9,H10,H7,SQ;D2,D9,D4,D3;D10,DJ,D5,D6;DA,DK,DQ,D7;SJ,H8,H5,H6;H3,C9,H4,H2;H9,C7,CJ,D8"
