1571996500,0,3,2,"CA,CJ,CQ,C2;S5,S4,S2,S9;S6,S10,S3,SJ;C6,C4,C3,CK;D10,D6,D3,D2;S7,H8,S8,SK;D9,D7,D5,D4;C9,C5,C7,H9;C10,H7,C8,H6;SQ,H5,SA,H4;HK,DQ,DK,D8;H10,H2,HQ,DA;HJ,H3,HA,DJ"
1571996500,0,4,2,"CA,CK,C2,CJ;S2,S10,S3,S6;S4,SJ,S5,HA;C3,C5,C8,C4;D10,D2,D6,D4;S7,SA,SQ,HK;DA,D3,D8,D5;S8,H8,SK,HJ;H10,D7,DK,DQ;H2,H3,H4,H7;C9,H5,HQ,C6;S9,DJ,H9,C10;CQ,D9,H6,C7"
1571996500,0,13,2,"C2,CQ,C9,CA;S5,S6,S3,S2;S10,S8,S9,S4;C3,C5,C7,C6;D5,D7,D4,D2;SK,SJ,SQ,S7;D10,DK,D6,D3;H7,DQ,D8,D9;C4,CJ,SA,C8;H2,H3,H8,H10;H6,HQ,DJ,DA;C10,H9,HA,CK;H4,H5,HK,HJ"
1571996500,0,0,2,"CK,CQ,C2,CA;S6,S9,S3,S2;C9,C5,C4,C3;S7,SQ,SJ,S4;D6,D4,D2,D5;S8,HK,SA,S5;SK,C7,CJ,C6;HA,DK,D3,D7;HQ,C8,H7,C10;H10,HJ,D9,D8;H8,H4,D10,DJ;H5,H3,DA,DQ;S10,H2,H6,H9"
1571996500,0,16,2,"CA,C3,CK,C2;S3,S6,S8,S2;C10,SA,C5,C4;S10,S9,HA,S4;SJ,SK,H3,S5;D5,D2,DA,D3;CQ,HQ,C6,C8;DK,D4,D8,D6;SQ,H7,D10,S7;H2,H4,D9,H8;HJ,D7,CJ,DQ;H5,H6,C9,H10;H9,DJ,C7,HK"
1571996500,0,4,2,"C4,C10,C2,CA;S4,S2,S3,S5;S6,S10,S9,S8;C3,C9,C8,C5;D2,D5,DA,D3;SA,SQ,CJ,C6;D4,D7,D8,DQ;S7,SK,HQ,SJ;D6,D9,H7,HJ;DK,D10,H5,H6;H8,HK,H2,H4;HA,DJ,H3,CQ;H10,H9,CK,C7"
1571996500,0,0,2,"C9,CK,CA,C2;S3,S6,S2,S4;S5,S10,SA,SJ;C7,C4,C3,C6;S7,H6,HA,SQ;H10,C5,CJ,C10;D2,D7,D3,DQ;H9,C8,HK,CQ;D5,D10,D4,D9;H8,DK,D6,DJ;H5,DA,D8,SK;S9,H2,H4,H7;S8,H3,HQ,HJ"
1571996500,0,8,2,"CA,C10,C2,CQ;S6,S2,SQ,S7;C3,C4,C7,C6;D4,D9,D2,D6;D7,DA,D3,D10;SA,S3,HQ,S10;DJ,HA,D5,SK;C5,HJ,H8,C8;C9,SJ,H7,CJ;H4,S9,H3,H2;CK,S8,DK,HK;H5,S5,DQ,H6;H10,S4,D8,H9"
1571996500,0,4,2,"C9,CA,C2,CJ;S4,S5,S2,H10;S9,S7,S3,H7;C3,C7,CQ,C4;SK,SJ,S6,H6;C5,CK,HA,C8;D10,D3,D8,D2;C6,SQ,HQ,C10;DQ,D4,DK,D5;HK,SA,S8,H4;H8,D6,HJ,D7;H5,DJ,H9,D9;H3,H2,S10,DA"
1571996500,0,12,2,"C2,CA,C5,CJ;S6,S3,S8,S2;SA,S4,SJ,S10;C4,C6,SQ,C3;C7,CK,SK,HA;DK,D5,D2,D3;DA,D9,D4,D6;C8,HJ,H9,HQ;C9,H8,H7,H10;C10,D10,H6,H5;CQ,S9,H4,H2;H3,S7,DQ,DJ;HK,S5,D7,D8"
1571996500,0,3,2,"C2,CK,CA,C8;S2,S6,S4,S5;D8,D2,DJ,D4;S3,SA,SJ,S7;DA,D3,D9,D7;S8,HK,SQ,S9;HA,D5,D10,DK;S10,HJ,HQ,SK;C9,H10,C6,C3;C10,H9,C7,C4;CQ,H7,CJ,C5;H2,DQ,H5,H3;H4,D6,H6,H8"
1571996500,0,0,2,"C10,CA,C2,C8;S2,S4,S5,S3;S8,S6,S7,S9;SQ,SA,SJ,S10;C3,C5,C4,C6;SK,CQ,C9,C7;D5,D4,D3,D2;D6,D9,HA,D7;D8,DA,H5,HK;DK,H7,H2,H3;DQ,H8,H4,H6;DJ,H9,CK,HJ;D10,H10,CJ,HQ"
1571996500,0,21,2,"CQ,CK,C2,CA;S4,S7,S2,S3;S6,S9,S8,S5;C5,C4,C10,C3;SQ,HQ,S10,SJ;D8,D2,D9,D4;HA,H10,SK,HK;HJ,H6,SA,DK;C6,DA,C8,C7;H7,DQ,H2,DJ;CJ,D10,H5,C9;H8,D6,H3,D7;H9,D3,H4,D5"
1571996500,0,0,2,"C5,CQ,C2,CA;S2,SQ,S3,S4;D5,DK,D2,D3;S5,SK,S6,S9;SA,C3,C10,C7;HK,H10,D4,D6;HQ,C4,HA,C8;HJ,C6,H7,CJ;H9,C9,H2,CK;H8,H6,D8,D7;SJ,H5,D9,D10;S8,H4,DJ,DQ;S7,H3,S10,DA"
1571996500,0,1,2,"C4,CA,C2,C10;S2,SJ,S4,S3;C3,C7,CJ,C5;HQ,C9,C8,C6;H9,CQ,SQ,SA;H7,CK,SK,H10;D4,D3,D2,D8;DJ,D5,D7,DQ;S5,HA,H5,S6;S7,HK,H4,S9;S8,HJ,DA,S10;H3,H6,D10,H2;DK,D6,D9,H8"
1571996500,0,14,2,"CJ,CA,C2,CQ;S5,S4,S2,SA;C3,C7,C10,C5;SQ,S8,S3,H10;C4,C8,SK,C6;C9,CK,HK,H7;D6,D4,D3,D2;D8,D9,D5,D7;HJ,S9,S6,H5;H2,H3,H8,H4;H6,HA,S7,DA;DK,HQ,S10,DQ;DJ,H9,SJ,D10"
1571996500,0,7,2,"CA,C9,C2,CJ;S4,S2,SA,S3;C4,C5,C6,C3;C7,HA,C8,SQ;CK,HJ,C10,HK;D3,DA,D2,D4;D5,D6,D8,D9;DJ,D7,D10,DK;S8,S7,H9,S5;SK,S9,H6,S6;H3,H10,H4,H2;HQ,S10,DQ,SJ;H8,H5,CQ,H7"
1571996500,0,0,2,"CQ,CA,CJ,C2;S2,S6,S3,S4;S5,S7,S9,HK;S8,SA,S10,H9;C4,C5,C7,C3;HA,H8,SJ,H3;HQ,C9,C6,C8;D6,D3,DA,D2;D10,D4,D7,D8;DJ,D5,DK,D9;HJ,H7,SK,H2;H10,H4,SQ,CK;H5,DQ,H6,C10"
1571996500,0,0,2,"CA,C4,C2,CQ;S2,S3,S5,S4;C3,SA,C10,C7;C5,SK,CJ,C9;D2,D5,D3,D4;S7,S8,SQ,S6;HQ,D7,DQ,D6;HJ,D9,DK,D8;H4,DJ,DA,D10;CK,H6,H5,H2;S9,S10,HA,SJ;C8,H10,H7,H3;C6,HK,H9,H8"
1571996500,0,0,2,"CA,C8,CQ,C2;C6,C3,C4,C5;D4,D2,D3,D10;HQ,S3,S4,S2;H9,SJ,S5,S8;D6,D5,DA,H10;H8,SQ,S6,S9;D7,D8,SK,H4;H7,SA,S7,S10;DK,H3,HJ,H2;DQ,HA,C9,C7;DJ,H6,CJ,C10;D9,H5,HK,CK"
1571996500,0,4,2,"CA,CQ,CK,C2;S3,S4,S8,S2;S9,SJ,S10,S5;C3,C4,C9,SQ;D5,D3,D2,D10;D8,D9,D4,D6;DK,DQ,DJ,D7;C5,C6,HK,SA;HJ,DA,H10,HA;H5,SK,H8,S6;C10,C7,H6,H9;CJ,C8,H3,H7;H4,HQ,H2,S7"
1571996500,0,0,2,"CA,CK,C2,C10;S2,S8,S3,S9;C3,C6,C5,C8;D3,D2,D4,D5;D7,D6,DA,D8;S4,SA,SJ,SQ;D10,D9,SK,DJ;H3,DK,HJ,DQ;C4,C9,C7,HA;S10,CJ,CQ,HQ;S7,H8,H2,H5;S6,H10,H4,H6;S5,HK,H9,H7"
1571996500,0,0,2,"CA,C2,CK,C6;S4,S2,S3,S5;HK,SJ,S8,S6;CQ,C5,C7,C3;D7,D2,D3,D5;D9,D4,DJ,D6;HQ,SK,S9,S7;H9,C9,C8,C4;H6,CJ,C10,SA;DK,D8,DQ,D10;H2,H7,HJ,H4;H5,H10,DA,HA;H3,H8,SQ,S10"
1571996500,0,9,2,"C2,CK,CA,CQ;S6,S2,S4,S3;C5,HQ,C3,C4;CJ,HJ,C6,C7;D6,D2,D4,D5;D8,D3,D9,D7;DQ,DJ,DA,D10;SQ,S5,SA,S9;H2,H10,H4,H3;SK,S7,H9,DK;H8,SJ,H5,C10;HK,S10,H6,C9;HA,S8,H7,C8"
1571996500,0,14,2,"CJ,CK,C2,CA;S5,S7,S2,S4;SQ,S9,S3,S6;C4,C9,C3,C5;C10,C8,C6,SA;D7,D3,D4,D2;D10,D5,DJ,D6;SK,HQ,S8,S10;DQ,D8,H9,DA;H3,H6,H5,H2;HJ,D9,CQ,HA;H8,DK,C7,HK;H4,H10,SJ,H7"
1571996500,0,10,2,"CQ,CA,C7,C2;S3,S5,S2,SJ;C4,C3,C5,C6;CJ,CK,SA,C8;S6,S8,S4,HK;S10,S9,S7,HQ;D6,D4,D3,D2;DJ,D8,D5,D7;DQ,DK,D9,HJ;SQ,DA,D10,H10;H8,H2,H6,H3;SK,H5,H9,C10;HA,H4,H7,C9"
1571996500,0,21,2,"CK,CA,CQ,C2;S4,S3,S2,S5;C8,C6,C10,C3;S8,S7,S6,HK;SJ,H10,S9,HQ;C9,C7,SK,C4;D2,DA,D4,D3;D9,D5,D6,D7;SA,H7,S10,HJ;SQ,H4,HA,H5;H2,H3,H8,DQ;H9,DJ,D8,CJ;H6,DK,D10,C5"
1571996500,0,26,2,"CJ,CA,C2,CK;S7,S2,S4,S3;S8,SJ,S5,S10;SQ,C3,C6,C4;HQ,C7,C9,C5;D5,D2,D4,D3;D6,D8,D10,D7;H9,HJ,S6,HK;H8,H10,S9,H6;H5,H7,SK,DK;H3,H2,SA,DQ;DA,D9,H4,C10;DJ,CQ,HA,C8"
1571996500,0,3,2,"CA,C9,C8,C2;S3,S5,S2,SK;C5,C3,C7,C6;S4,SJ,S6,SA;CJ,C4,H10,C10;S10,SQ,S7,HJ;D2,D3,DA,D4;D6,D5,D8,DK;CQ,HA,H9,CK;D7,D9,H6,D10;DQ,HK,H2,DJ;H3,H8,S9,H4;H7,HQ,S8,H5"
1571996500,0,1,2,"CQ,C9,C2,CA;S7,S3,S9,S2;SJ,S4,S10,S5;C4,C8,C3,C5;HJ,S8,SA,S6;C7,SQ,C6,C10;H7,HA,CK,CJ;D2,D4,D7,D5;D3,D6,D10,D8;DJ,HK,DQ,D9;DA,HQ,DK,SK;H2,H9,H3,H5;H6,H8,H4,H10"
1571996500,0,16,2,"C10,CK,C2,C4;S7,S3,S4,S2;S8,S9,S5,HJ;SJ,S10,S6,H10;C7,C3,CJ,H3;C8,C5,CA,DK;D5,D9,D10,D2;SA,DA,DQ,D3;C9,C6,SQ,DJ;H2,H4,H5,D8;HA,HK,SK,D7;H6,H7,H8,D6;HQ,CQ,H9,D4"
1571996500,0,0,2,"CQ,C10,C2,C5;S3,S4,S2,S7;S10,S6,S5,S8;C4,C7,C3,HK;D5,D4,D3,D2;C6,SA,CK,HQ;HA,H8,SJ,S9;C8,H6,CA,H9;D10,D6,D8,DA;DJ,D7,SQ,DQ;H4,H3,H10,H2;CJ,DK,SK,H7;C9,D9,HJ,H5"
1571996500,0,0,2,"CK,CA,C5,C2;S3,S4,S2,S7;C7,C6,C3,C10;D6,D2,D4,D10;D7,D3,D8,DJ;DK,D5,D9,DQ;S6,S9,S5,HK;S8,SJ,S10,HJ;C8,CJ,C4,H10;HQ,SQ,SK,H9;H3,H6,SA,H8;CQ,H2,H5,H7;C9,H4,HA,DA"
1571996500,0,13,2,"CQ,CA,C2,C9;S3,S7,S4,S2;SQ,S8,S5,S6;D2,D3,D4,D5;D9,D6,D7,D8;C5,CK,C4,C3;HA,D10,DJ,DQ;HQ,H10,DA,DK;HJ,S10,S9,SA;C6,H8,CJ,C7;H9,H6,SJ,HK;H2,H5,SK,H3;C10,H4,H7,C8"
1571996500,0,1,2,"C9,C2,C6,CA;S3,S2,S6,S5;S4,S7,SJ,HJ;D4,D5,D2,D3;S8,S9,SA,H7;D7,DQ,D6,DJ;C5,C4,HA,C3;S10,SK,HQ,H5;C8,C7,H10,C10;SQ,CJ,H9,CK;H6,H8,DA,H2;DK,CQ,D9,H4;D10,HK,D8,H3"
1571996500,0,3,2,"CK,C2,CA,C9;S9,S2,S5,SQ;D5,D3,D9,D2;S10,S3,S7,HA;D6,DQ,H6,D4;SK,S4,SJ,HJ;D8,SA,H5,D7;C3,C5,C4,H8;HQ,S6,H2,H7;H4,S8,CQ,DA;H3,H9,CJ,DK;C7,H10,C10,DJ;C6,HK,C8,D10"
1571996500,0,1,2,"C2,C10,CK,CQ;S4,S6,S2,S7;CA,C3,C5,C4;S10,S8,S3,HA;CJ,C6,C8,C7;D2,D8,D3,D7;H7,S9,S5,HK;H5,SJ,SK,H10;D4,SQ,D5,DJ;D9,SA,D6,DA;H4,HQ,HJ,C9;DQ,H2,H3,H6;D10,H8,DK,H9"
1571996500,0,4,2,"CJ,CK,C2,CA;S4,S3,S5,S2;S10,S7,S6,S9;C3,C4,C5,H8;C6,C9,C8,H3;HA,S8,SQ,SJ;D4,D9,DK,D2;C7,SA,CQ,H2;HJ,H4,H5,DJ;C10,SK,HK,D10;D5,DA,H10,D3;DQ,H7,H6,D7;D8,HQ,H9,D6"
1571996500,0,11,2,"CA,D10,C2,CJ;S4,S3,SA,S2;C4,SQ,C3,C9;C6,HQ,C5,C10;D2,D5,D3,D4;D7,D8,D6,D9;DQ,HJ,DJ,DK;SJ,S9,HA,S5;DA,H10,H7,SK;CQ,H9,C7,HK;CK,H5,C8,S8;H4,H2,H3,S7;H8,S10,H6,S6"
1571996500,0,25,2,"CK,CA,C2,CQ;S5,S4,S2,S3;S7,S6,SK,S8;D4,D6,D5,D2;S10,SJ,HQ,S9;C9,C5,HJ,C3;CJ,C8,H8,C4;D8,DJ,D9,D3;DK,D10,DQ,D7;DA,HA,H7,H4;SA,HK,H6,C10;SQ,H9,H5,C7;H10,H3,H2,C6"
1571996500,0,11,2,"SA,C9,C2,CA;S2,S3,SJ,S5;HA,C6,C3,C4;D7,D2,D4,DK;S4,HK,SQ,S7;D10,D3,D5,SK;S6,H10,H7,HJ;S8,H4,H5,H9;S9,H3,DA,H2;S10,DQ,D9,CJ;H6,DJ,CK,C10;H8,D8,CQ,C7;HQ,D6,C8,C5"
1571996500,0,0,2,"C2,CA,CK,C9;S10,S6,S3,S2;SJ,S7,S4,S5;C7,C3,C6,C4;D3,D9,D2,D4;SQ,S8,S9,SK;DA,D7,D6,D5;D8,H6,DJ,D10;HQ,H5,SA,HK;H3,H2,H7,H4;H9,CQ,H8,H10;DK,C10,HA,C5;DQ,CJ,HJ,C8"
1571996500,0,0,2,"CA,C2,C9,CJ;S6,SQ,S2,S10;D3,D5,D2,D4;D6,D7,HQ,D8;C3,C6,C5,C4;D9,DQ,H9,DJ;CK,C7,C8,C10;D10,HA,SJ,DK;HK,H8,S9,DA;S8,H6,S3,SK;H10,H4,S4,SA;H3,H2,S7,H5;H7,CQ,S5,HJ"
1571996500,0,26,2,"C8,CK,CA,C2;S8,S3,S6,S2;S9,S4,S10,S5;C4,C7,C3,C6;C5,C9,C10,SA;D3,D7,D6,D2;HA,CJ,HK,H9;H7,CQ,H10,H8;SJ,SK,H2,S7;H4,SQ,DA,H5;DK,H6,D10,H3;DJ,HJ,D9,DQ;D4,HQ,D8,D5"
1571996500,0,1,2,"CK,CQ,C2,CA;S6,S2,S7,S5;SA,S3,S9,S8;C9,CJ,C3,C4;HJ,S4,HA,S10;H8,SK,DJ,SJ;D6,D5,D2,D10;C10,H9,C5,C8;DQ,D8,D3,DA;H7,H5,D7,SQ;H2,H4,D4,H10;H3,DK,C7,HQ;H6,D9,C6,HK"
1571996500,0,6,2,"C9,C2,C5,CA;S3,S2,S7,S6;D4,D6,D3,D2;S4,S5,SQ,S8;D8,DJ,D5,DA;D9,DQ,D7,DK;S9,H10,SK,SA;C7,C3,HK,C4;S10,H8,H7,HA;SJ,CK,H6,HQ;H4,CQ,H2,HJ;H9,C6,H3,C8;H5,C10,D10,CJ"
1571996500,0,0,2,"C2,C9,CJ,C4;S9,S8,S4,S2;S10,HA,S6,S3;SJ,H9,HQ,S5;CQ,H7,C5,C3;CK,H4,C6,HK;CA,H3,C7,HJ;DJ,D5,D2,D3;SA,H2,H10,S7;SK,DQ,DK,H6;SQ,D10,D9,DA;H5,D8,C10,D7;H8,D6,C8,D4"
1571996500,0,13,2,"C2,CK,CA,C8;S2,S6,S3,S4;SA,S9,S8,S5;C7,C10,C3,C4;H7,SJ,SK,S7;CJ,SQ,C6,C5;D6,D3,D4,D2;D10,D5,D9,D7;DQ,D8,DK,DJ;H6,HK,C9,HA;H5,HJ,CQ,HQ;H2,H4,H8,H3;DA,H10,H9,S10"
