1571996507,0,0,2,"C9,CK,CA,C2;S2,S7,S4,S5;C7,C8,C4,C3;SA,C10,C5,CJ;S3,HA,S9,S10;S6,H10,SQ,SJ;H9,H7,C6,CQ;D4,D2,D8,D3;D5,D7,DK,D6;D9,DQ,DA,DJ;S8,H4,SK,HK;H6,H2,H8,H5;D10,H3,HJ,HQ"
1571996507,0,0,2,"CA,C7,C9,C2;S5,S2,S7,S3;C4,SQ,C3,C6;C10,SK,C5,CJ;CQ,HJ,C8,CK;D2,D7,D5,D3;D9,D8,D6,D4;S10,S4,SA,HK;HQ,DK,DQ,D10;H10,S6,HA,H8;H9,S8,H6,H7;H3,S9,H5,DA;H2,SJ,H4,DJ"
1571996507,0,1,2,"CK,CQ,C2,C9;C7,C5,C4,C3;C10,HA,C6,C8;D3,D2,D5,D4;SK,S3,S6,S2;D9,D6,DK,D7;SA,S8,S7,S4;DQ,D8,DA,D10;HK,HQ,CJ,SQ;H9,HJ,CA,H10;H2,DJ,H4,H3;H5,SJ,H6,S10;H7,S9,H8,S5"
1571996507,0,3,2,"C2,CK,CJ,C7;S4,S2,S3,S6;CA,C8,C4,C3;S8,S7,S5,HA;CQ,C9,C5,HK;D2,D9,D4,D5;SK,S9,S10,HQ;D3,SQ,D10,D6;DK,SA,DQ,D7;H3,H2,H6,H5;HJ,H10,DA,D8;H7,H9,C6,H8;H4,SJ,C10,DJ"
1571996507,0,0,2,"CA,C9,C2,C10;S3,S10,S7,S2;C8,C4,CK,C3;S4,SK,S9,S8;CQ,C5,CJ,C7;S5,SA,SJ,SQ;HA,C6,H8,HK;D2,D8,D4,D3;DQ,DA,D6,D5;H2,H3,DK,H5;HQ,HJ,D7,D10;H4,H7,DJ,H6;S6,H10,D9,H9"
1571996507,0,16,2,"CK,C10,CJ,C2;S9,S3,S4,S2;C7,C5,C3,C4;C8,C6,SK,CQ;SQ,S7,HA,S5;D7,D3,D5,D2;D9,D4,DQ,D8;H2,H10,H3,H4;SA,C9,HK,CA;H9,S8,HJ,S6;D10,D6,H7,HQ;DJ,DA,H6,H8;DK,SJ,H5,S10"
1571996507,0,26,2,"CK,CJ,C2,C9;S8,S2,S6,S3;S9,S5,S7,S4;SJ,S10,SQ,HK;D3,D4,D7,D2;DJ,D8,D10,D5;DK,D9,DA,D6;HA,SK,SA,HJ;C6,C3,C4,C5;C7,C8,C10,H10;CQ,H9,CA,H8;H4,H6,H7,H2;H5,DQ,HQ,H3"
1571996507,0,1,2,"CA,C2,C6,C10;S8,SA,S4,S2;C3,C4,C5,C7;S9,HQ,S5,S3;S10,H10,S6,SJ;DQ,D6,D3,D2;C8,CJ,H3,SQ;C9,CK,H2,SK;HA,D9,D4,D5;HK,D10,D7,DJ;H7,H9,D8,DA;H4,H5,DK,H6;CQ,H8,S7,HJ"
1571996507,0,1,2,"C2,CA,C8,SK;S3,S6,S2,S4;SJ,S7,S5,S9;C3,C6,C5,HJ;SA,S10,S8,H9;C4,C7,HK,H6;C9,CJ,HQ,H5;C10,CQ,H10,H3;H7,CK,H8,DJ;D9,D4,D2,D3;DK,D5,D10,D6;H2,HA,DA,D8;H4,SQ,DQ,D7"
1571996507,0,0,2,"CA,CJ,C2,CK;S2,SJ,S3,S4;C3,C4,CQ,C7;S5,SK,S6,S9;C9,C5,H8,C10;HK,SA,S7,S10;HQ,C6,H6,SQ;D2,D10,D9,D5;H9,C8,H2,HJ;D8,H4,DA,H3;D7,H5,DK,H7;D3,HA,DJ,D6;D4,H10,S8,DQ"
1571996507,0,12,2,"CA,C2,C8,CJ;S6,S4,S3,S2;S9,S5,S8,SJ;C3,CQ,C4,C9;S10,S7,SK,SQ;C5,CK,C6,HK;D2,D3,D4,D5;D8,D7,DQ,D6;D9,D10,DK,DJ;HJ,H4,H2,H3;SA,H9,HA,HQ;C7,H8,H10,H6;C10,H5,H7,DA"
1571996507,0,1,2,"C2,CJ,CK,CA;S3,S4,S2,S6;S7,S10,S5,S9;SA,SJ,S8,HK;C4,C3,C6,C5;C7,C10,C8,C9;D2,D3,D6,D8;D4,D5,D10,D9;HJ,SQ,CQ,HQ;H5,H10,SK,H8;H2,H3,H6,H7;D7,DK,HA,DQ;DJ,H4,H9,DA"
1571996507,0,0,2,"CA,C2,CQ,CJ;S10,S3,S4,S2;C3,C5,C7,HA;HK,S8,S6,S5;H9,SJ,S9,S7;D4,D7,DA,D2;C4,SA,C8,H8;C6,HQ,C10,H7;D5,D10,D9,D3;H5,H2,H6,DQ;DK,H10,SK,DJ;CK,H4,SQ,D8;C9,H3,HJ,D6"
1571996507,0,23,2,"CA,C2,CJ,C10;S4,S7,S2,S3;C4,C3,C5,C8;S5,H9,S10,S8;D2,D5,D10,D4;D3,D7,DK,D6;H6,H4,H2,H5;S6,DA,HA,S9;SQ,D9,HQ,SJ;DJ,D8,HJ,DQ;SA,CQ,H8,SK;C9,C6,H7,HK;CK,C7,H3,H10"
1571996507,0,3,2,"C2,CA,CQ,CK;S8,S2,S5,S3;S10,S7,SQ,S4;D5,D6,D4,D2;D8,D9,D7,D3;DQ,DJ,D10,DK;SJ,SK,HK,S6;C10,C5,C3,C8;DA,HA,HJ,SA;CJ,C7,C4,HQ;H3,H10,H4,H2;H6,H7,C9,H5;H8,H9,C6,S9"
1571996507,0,2,2,"CK,CQ,CA,C2;S2,S3,SJ,S7;C3,C8,C4,C6;S4,S5,SK,SQ;D3,D2,D4,DA;CJ,H10,C5,C9;D6,D8,HK,D5;DJ,D9,HQ,D7;DQ,D10,HJ,DK;S8,S6,H5,SA;HA,H9,C7,C10;H6,H3,H2,H7;S10,S9,H4,H8"
1571996507,0,0,2,"CK,C2,C4,CQ;S2,S4,S5,S10;C7,C9,C3,C5;SQ,C10,HA,C6;H9,CA,HJ,C8;D6,D2,D4,D3;D9,D5,D8,D7;D10,SA,DJ,DA;S3,HK,S6,SK;H2,HQ,H4,CJ;DK,H5,DQ,H3;SJ,H8,S8,H6;S9,H10,S7,H7"
1571996507,0,8,2,"CQ,CK,CJ,C2;S9,S6,S2,S3;S10,S8,S7,S4;C9,C7,C6,C3;D2,D6,D4,SA;D3,D7,D10,H10;SQ,SK,SJ,S5;D5,DJ,DK,H4;D8,DQ,DA,H3;HA,H9,C8,C4;HJ,H2,H5,CA;D9,H8,HQ,C10;HK,H6,H7,C5"
1571996507,0,23,2,"C2,CK,CA,CJ;SJ,S7,S4,S2;C6,C4,C7,C3;HA,S8,S5,S3;C8,C5,SQ,HK;C9,CQ,SA,HJ;D3,D8,D5,D2;D7,DQ,SK,D4;D10,DA,HQ,D6;H8,H3,H4,H2;DK,H10,H5,D9;C10,H7,S10,DJ;H9,H6,S9,S6"
1571996507,0,13,2,"C2,CQ,C8,C10;S4,SJ,S6,S2;CK,C3,C5,C6;S9,SK,S7,S3;CA,C4,SQ,C7;D5,DA,D2,D3;D9,D10,D6,D4;DQ,DK,D8,D7;HK,C9,SA,H10;H8,CJ,HA,H3;H2,H4,HJ,DJ;H7,H9,S10,S5;H6,H5,HQ,S8"
1571996507,0,6,2,"CQ,C2,CK,CJ;S3,S9,S2,S7;S5,S10,S4,SA;C10,C6,C3,C4;S8,HJ,S6,HA;SJ,H10,SQ,HQ;D2,D4,D3,DA;DK,D7,D6,D5;D10,D9,H7,D8;SK,H8,H6,H9;H2,DQ,H4,H3;HK,CA,C7,C5;H5,DJ,C8,C9"
1571996507,0,3,2,"CQ,C2,C7,CK;S4,S7,S6,S2;S5,SJ,S9,S3;C3,C6,C4,C8;S8,SK,SQ,S10;H7,C9,C5,C10;H6,CA,HA,CJ;D2,D3,HK,D6;D4,D5,HQ,D10;D7,D9,H10,DJ;H5,SA,H2,H3;D8,DQ,H8,HJ;DK,DA,H4,H9"
1571996507,0,6,2,"CJ,CA,CK,C2;S2,S4,S9,S6;S3,S5,S10,SA;C3,C4,C5,C7;DJ,D6,D5,D2;S7,S8,SJ,HK;C9,C6,C8,H9;C10,SK,CQ,H7;SQ,D7,D8,D3;HA,D9,DA,D4;H4,H3,H5,H2;H10,DK,H8,H6;HQ,DQ,HJ,D10"
1571996507,0,0,2,"CQ,CK,C2,CA;S3,S4,S5,S2;S7,S8,S6,S9;C9,C3,C6,C4;D4,D3,D2,D10;SQ,CJ,C10,C5;D5,D9,D6,SA;D7,DJ,D8,SK;H4,H2,H3,H7;HK,HQ,DA,C7;HJ,H10,DQ,C8;H6,H5,SJ,H9;DK,H8,S10,HA"
1571996507,0,7,2,"C7,CA,C2,CK;S3,S5,S2,S7;S4,S8,S9,SJ;HA,C8,C5,C3;S6,S10,SQ,SK;HJ,C9,C6,C4;D2,D3,DJ,D4;D6,D8,D5,DA;D9,SA,D7,DQ;H2,H4,H8,H3;H10,CQ,H9,H5;D10,CJ,HK,H7;DK,C10,HQ,H6"
1571996507,0,0,2,"C2,C10,C8,CA;S10,S5,S2,S4;C5,C3,C4,C7;C6,SA,SQ,CJ;D3,D6,D2,DA;DK,S7,S3,SK;C9,HQ,H5,CK;DQ,H6,H3,H2;D4,D10,D7,HA;D9,S9,S6,HK;D8,H8,DJ,H4;D5,H10,SJ,H7;CQ,HJ,S8,H9"
1571996507,0,0,2,"CK,CQ,CJ,C2;S3,S2,SQ,S5;C4,C7,C3,CA;C6,C9,C5,C10;D10,DJ,D2,D3;DK,DA,D4,D5;S4,S6,HK,SA;SK,H8,D8,D6;HQ,H3,DQ,D7;H10,H2,C8,HA;H6,S10,H7,H4;SJ,S9,H9,H5;S7,S8,HJ,D9"
1571996507,0,2,2,"C10,CA,CJ,C2;S9,S3,S2,S8;SJ,S5,S4,H9;C8,C3,C4,C5;D3,DK,D6,D2;SK,S7,S6,H5;D4,HA,D9,D7;HK,CQ,C9,C6;HQ,S10,SQ,H3;D5,HJ,DJ,D8;H8,H6,DA,D10;H7,H2,SA,DQ;H4,CK,H10,C7"
1571996507,0,6,2,"C10,CA,C2,CJ;S3,S7,S9,S2;C6,C8,C4,C3;C9,CQ,C5,C7;D5,D4,D3,D2;S6,HJ,SA,S4;SQ,H10,CK,SK;D6,D7,DJ,HA;D9,D8,DQ,HK;D10,DK,DA,H9;H6,H2,H4,H5;S8,H8,HQ,S5;S10,H3,H7,SJ"
1571996507,0,0,2,"CK,C3,C2,C8;S4,S3,S2,S6;HA,S7,S5,S10;C6,SA,C5,C4;C9,SK,CQ,C7;H9,S9,S8,HQ;H2,SJ,SQ,HJ;C10,HK,CA,H7;D2,D4,D8,DA;D3,D5,DK,D9;D10,DQ,H3,H4;D7,DJ,H8,H5;CJ,D6,H10,H6"
1571996507,0,21,2,"CA,C2,C9,C7;S6,S2,SA,S4;C10,CK,C3,C4;S7,S3,HJ,S5;S8,SJ,H4,S9;D10,D3,D2,DQ;SQ,HA,DA,S10;CJ,H8,C5,C6;CQ,H6,C8,SK;H2,DK,DJ,H3;H7,D8,D9,H5;H9,D6,D7,H10;HK,D4,D5,HQ"
1571996507,0,26,2,"CQ,C2,CK,CA;S2,S5,S3,S8;S7,SQ,S4,SJ;C5,C7,C4,C3;D3,D6,DJ,D2;HJ,SK,S6,HK;D4,D9,SA,D7;D5,DQ,H10,D10;DA,H7,H2,H3;DK,H8,H6,H4;D8,H9,C9,H5;C8,HQ,S10,CJ;C6,HA,S9,C10"
1571996507,0,1,2,"CK,C2,CQ,C8;S2,S6,S7,S3;C7,C3,C5,C4;S5,S8,HK,S4;SJ,S9,HJ,S10;CJ,CA,C9,C6;D3,D2,D5,D7;D4,D6,D9,D8;SK,SQ,C10,H6;H8,SA,DK,D10;H2,H10,H3,DA;H4,HQ,H7,DQ;H5,HA,H9,DJ"
1571996507,0,17,2,"C2,CA,CJ,C8;S6,S2,S7,S4;SQ,S3,S8,S10;C3,C5,C6,C4;HA,C7,C10,H10;D6,D3,D2,D5;D9,D8,D4,D7;DQ,HQ,DJ,D10;DA,CK,SA,DK;H6,CQ,H2,H3;H7,C9,HJ,H4;HK,S5,S9,H9;H8,SJ,SK,H5"
1571996507,0,18,2,"C10,C7,C2,CA;S7,S8,S4,S2;C3,C5,C4,C6;SQ,HQ,S5,S3;C8,HJ,CQ,C9;D2,D5,D4,DQ;D3,D6,D10,D7;D9,D8,DJ,HK;SA,DK,DA,H7;SK,H8,S9,S6;H5,H2,H4,CK;H9,H3,HA,CJ;H10,H6,S10,SJ"
1571996507,0,0,2,"C3,C9,CQ,C2;S2,SJ,S6,S5;SQ,C4,C6,C5;HK,C7,C8,C10;D6,D2,D7,D3;D8,D4,D9,D10;S3,HA,S8,SK;H10,H7,SA,CJ;H9,H6,HQ,CK;H2,H3,H5,CA;DQ,DA,DK,H4;S7,DJ,S10,H8;S4,D5,S9,HJ"
1571996507,0,7,2,"C2,C6,C8,CQ;S3,SK,S4,S2;C9,C3,C7,C4;S9,HJ,S8,S5;CJ,C5,SA,C10;CK,H10,HA,H9;CA,H7,HK,H8;D4,DA,D3,D2;D5,D8,D7,D6;SQ,D10,DJ,D9;H6,DK,DQ,S10;H4,H2,HQ,S7;H5,H3,SJ,S6"
1571996507,0,0,2,"CK,C6,CQ,C2;S2,S5,SJ,S4;CJ,C3,C5,C8;S3,S6,SQ,S7;HQ,C4,C7,C10;H7,SK,C9,CA;D3,D5,D2,D10;D7,D8,D4,DJ;D9,HA,D6,DK;DQ,HJ,H10,DA;S8,S10,H9,SA;H6,H3,H2,H8;S9,H5,H4,HK"
1571996507,0,2,2,"CK,C9,CA,C2;S2,S4,S6,S3;C4,SA,C7,C3;C5,HQ,CJ,C6;D2,D6,D4,D3;S9,S7,HA,S5;S10,S8,HK,SK;C8,H10,H2,C10;SQ,H7,DK,CQ;DQ,H6,D5,D7;H4,H3,DJ,H9;HJ,H5,D8,D10;H8,SJ,D9,DA"
1571996507,0,0,2,"CA,C2,C7,CQ;S4,S3,S2,S5;S8,S6,S7,S10;C3,C5,C4,C8;C10,CJ,C6,C9;SK,S9,SQ,SA;D3,D2,D8,D6;D7,D4,DQ,D9;H3,H5,H4,H2;H7,CK,HA,HQ;DJ,D5,HK,DA;H6,D10,H9,H8;DK,SJ,HJ,H10"
